Promocional*,Urbanístico*,"Latitud, Longitud*",Dirección ,Municipio*,Provincia*,Comunidad Autónoma*,Tipología de asentamiento principal (ver pestaña ayuda)*,Tipología del asentamiento secundaria( ver pestaña ayuda),"FUENTE (nación rotonda, 6000km, etc)*",enlace web,Enlance a mapa de foto aérea en el que se visualice el cadáver ,"Fecha, autor, fuente de la foto",Padre o Madre adoptivo del cadáver,Superficie del terreno (m2),Superficie construida (m2),Suelo ocupado actual (%),Viviendas,Plazas hoteleras,Parcelas uso industrial,Parcelas uso comercial,Parcelas uso equipamiento,Selección desplegable,Comentarios/ otras opciones,Promotor,Constructor,Arquitecto o técnico redactor,Descripción,Código INE Municipio,Código INE Provincia,Seleccion desplegable,Comentarios / otros,Selección desplegable,Comentarios / otros,Edificabilidad absoluta planificada o aprobada (m2),Viviendas,Plazas hoteleras,Parcelas uso industrial,Parcelas uso comercial,Parcelas uso equipamiento,Número de habitantes previsto,Número de visitantes previsto ( aplicable a centros de ocio),"Convenio
urbanístico
","Plan parcial 
","Modificación puntual
de PGOU ","Proyecto
urbanístico ",Licencia de obras,Otras fechas,"Convenio
urbanístico
","Plan parcial 
","Modificación puntual
de PGOU ","Proyecto
urbanístico ",Licencia de obras,Otros,"Convenio
urbanístico
","Plan parcial 
","Modificación puntual
de PGOU ","Proyecto
urbanístico ",Licencia de obras,Otros,Recursos interpuestos,Sentencias judiciales,Número y fecha de la sentencia,Tribunal que la dicta,Fallo,Hipotecas y cargas,Cuantía de la hipoteca (€),Concurso de acreedores del promotor,Entidades financieras vinculadas,Figuras de protección ambiental,"Nombre y categoría, en su caso",Zonificación (nivel de protección),Dominio público marítimo-terrestre,Enlaces a noticias de prensa,Material gráfico y promocional,Archivos adjuntos
Playa Macenas Beach & Golf Resort ,"Sector 1 “Macenas”
","37.080085, -1.855302","Paraje Cortijo Blanco s/n, 04638 ",Mojácar,Almería,Andalucía,DEO - Desarrollo ligado a instalaciones de ocio,NEU - Nueva entidad urbana,"Ruinas Modernas, Nación Rotonda","http://www.juliaschulzdornburg.com/cas/playa-macenas-resort, http://www.nacionrotonda.com/2013/05/mojacar-almeria-2002-2011.html, http://www.nacionrotonda.com/2014/06/horta-guadalajara_20.html ",http://www2.ign.es/iberpix/visoriberpix/visorign.html?x=601628.75&y=4104188.75&zone=30&r=936&visible=PNOA;,IGN-PNOA. fecha vuelo: 06-2013,"Ruinas Modernas, Shen",2895000,,,,,,,,Edificación terminada con uso parcial,,,,,,,,Residencial Unifamiliar,residencial colectivo y turístico,Bloque exento,,,1.395,,,,,"4.882,50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Sun Beach & Golf Resort,Sector Costa-1,"37.368716, -1.672693","Calle pacifico, San Juan de Terreros, ",Pulpí,Almería,Andalucía,DEO - Desarrollo ligado a instalaciones de ocio,NOE - Nuevo desarrollo urbano,"Ruinas Modernas, Nación Rotonda","http://www.juliaschulzdornburg.com/cas/golden-sun-bg-resort, http://www.nacionrotonda.com/2013/06/san-juan-almeria.html",http://www2.ign.es/iberpix/visoriberpix/visorign.html?x=617658.75&y=4136446.75&zone=30&r=936&visible=PNOA;,IGN-PNOA. fecha vuelo: 06-2013,"Ruinas Modernas, Shen",2160000,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Bloque exento,viviendas unifamiliares aisladas,,3.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urbanización Dominion Heights,UEN-C13 “Arroyo Barranco”,"36.451912, -5.091359","Dominion Heights, El Velerín, ",Estepona,Málaga,Andalucía,NEU - Nueva entidad urbana,-,"Ruinas Modernas, Mediturban, 6000km","http://www.juliaschulzdornburg.com/cas/urbanizacion-dominion-heights, http://www.6000km.org/localizaciones/urbanizacion-abandonada-en-llanos-del-velerin/",http://www2.ign.es/iberpix/visoriberpix/visorign.html?x=312575.25&y=4036189.25&zone=30&r=234&visible=PNOA;,IGN-PNOA. fecha vuelo: 07-2013,Ruinas Modernas,57262,,,,,,,,Edificación no terminada,trabajos de urbanización no acabados,,,,,,,Residencial Colectivo,,Bloque adosado,,,140,,,,,"10.500,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urbanización Llanos de la Boladilla,"Sector SUP-C-9, Llanos de la Boladilla","36.454514, -5.072458","Autovía del Mediterráneo, 1-3, 29680 ",Estepona,Málaga,Andalucía,NEU - Nueva entidad urbana,-,Ruinas Modernas,http://www.juliaschulzdornburg.com/cas/llanos-de-la-boladilla,http://www2.ign.es/iberpix/visoriberpix/visorign.html?x=314298.75&y=4036446.25&zone=30&r=234&visible=PNOA;,IGN-PNOA. fecha vuelo: 07-2013,Ruinas Modernas,173176,,,,,,,,Urbanización terminada,"sólo hay dos parcelas edificadas
",,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar aislada,,,,,,,,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Altos de Estepona,SUP-R8 “Altos de Estepona”,"36.440520, -5.151022",Ctra Gral. de Genalguacil Km.2 ,Estepona,Málaga,Andalucía,NEU - Nueva entidad urbana,-,Ruinas Modernas,http://www.juliaschulzdornburg.com/cas/altos-de-estepona,http://www2.ign.es/iberpix/visoriberpix/visorign.html?x=307064.75&y=4034943.25&zone=30&r=468&visible=PNOA;,IGN-PNOA. fecha vuelo: 07-2013,Ruinas Modernas,285562,,,,,,,,Edificación no terminada,,,,,,,,Residencial Colectivo,,Volumen específico,,,,,,,,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complejo residencial y comercial La Hacienda ,SUP- Sector Montemayor Bajo,"36.484720, -5.057767","Autopista del Mediterráneo, 29679, ",Benahavís,Málaga,Andalucía,DEO - Desarrollo ligado a instalaciones de ocio,NEU - Nueva entidad urbana,Ruinas Modernas,http://www.juliaschulzdornburg.com/cas/complejo-la-hacienda,http://www2.ign.es/iberpix/visoriberpix/visorign.html?x=315690&y=4039660&zone=30&r=936&visible=PNOA;,IGN-PNOA. fecha vuelo: 07-2013,Ruinas Modernas,2568790,,,,,,,,Inicio de los trabajos (movimiento de tierras),,,,,,,,Residencial Colectivo,,Bloque adosado,,,,,,,,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balcones de la Galera,"Sector UEP - 010 ""La Galera I""","36.398340, -5.204205","Punto kilométrico 148,700 de la CN-340, La Gaspara, ",Estepona,Málaga,Andalucía,NEU - Nueva entidad urbana,-,Ruinas Modernas,http://www.juliaschulzdornburg.com/cas/balcones-de-la-galera,http://www2.ign.es/iberpix/visoriberpix/visorign.html?x=302282.75&y=4030364.75&zone=30&r=232.5&visible=PNOA;,IGN-PNOA. fecha vuelo 07-2013,Ruinas Modernas,71329,,,,,,,,Edificación terminada sin uso,,,,,,,,Terciario Recreativo,,Volumen específico,,,,,,,,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residencial Montecalero,SURS-RT.3 ARROYO CALERO ( AU6 Arroyo Calero),"36.539913, -4.860249",Finca “Arroyo Calero”,Ojén,Málaga,Andalucía,NEU - Nueva entidad urbana,-,Ruinas modernas,http://www.juliaschulzdornburg.com/residencial-montecalero,http://www2.ign.es/iberpix/visoriberpix/visorign.html?x=333715.5&y=4045501&zone=30&r=632&visible=PNOA;,IGN-PNOA. fecha vuelo 07-2013,Ruinas modernas,200553,,,,,,,,Proyecto tramitado (no iniciado),,,,,,,,Terciario Recreativo,,Volumen específico,,,,,,,,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Mota Golf,"Sector UR 9, “La Mota”","36.661966, -4.717848","Urbanizacion UR9, 21 29120",Alhaurín el Grande,Málaga,Andalucía,DEO - Desarrollo ligado a instalaciones de ocio,NEU - Nueva entidad urbana,Ruinas modernas,http://www.juliaschulzdornburg.com/cas/la-mota-golf,http://www2.ign.es/iberpix/visoriberpix/visorign.html?x=346502&y=4054026&zone=30&r=632&visible=PNOA;,IGN-PNOA. fecha vuelo 07-2013,Ruinas modernas,2500000,,,,,,,,Proyecto tramitado (no iniciado),,,,,,,,Terciario Recreativo,,Volumen específico,,500.000,,,,,,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buenavista del mar- Buenavista del Sol,"Sector SUP S-11 (RT) ""Buenavista""","36.592723, -4.609483","Autovía A-368, 29650",Mijas,Málaga,Andalucía,NEU - Nueva entidad urbana,-,Ruinas modernas,http://www.juliaschulzdornburg.com/cas/buenavista-del-mar,http://www2.ign.es/iberpix/visoriberpix/visorign.html?x=356374&y=4050916&zone=30&r=632&visible=PNOA;,IGN-PNOA. fecha vuelo 07-2013,Ruinas modernas,674485,,,,,,,,Proyecto tramitado (no iniciado),,,,,,,,Terciario Recreativo,,Volumen específico,,155.132,1.349,,,,,"4.721,50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
