Promocional*,Urbanístico*,"Latitud, Longitud*",Dirección ,Municipio*,Provincia*,Comunidad Autónoma*,Tipología de asentamiento principal (ver pestaña ayuda)*,Tipología del asentamiento secundaria( ver pestaña ayuda),"FUENTE (nación rotonda, 6000km, etc)*",enlace web,Enlance a mapa de foto aérea en el que se visualice el cadáver ,"Fecha, autor, fuente de la foto",Padre o Madre adoptivo del cadáver,Superficie del terreno (m2),Superficie construida (m2),Suelo ocupado actual (%),Viviendas,Plazas hoteleras,Parcelas uso industrial,Parcelas uso comercial,Parcelas uso equipamiento,Selección desplegable,Comentarios/ otras opciones,Promotor,Constructor,Arquitecto o técnico redactor,Descripción,Código INE Municipio,Código INE Provincia,Seleccion desplegable,Comentarios / otros,Selección desplegable,Comentarios / otros,Edificabilidad absoluta planificada o aprobada (m2),Viviendas,Plazas hoteleras,Parcelas uso industrial,Parcelas uso comercial,Parcelas uso equipamiento,Número de habitantes previsto,Número de visitantes previsto ( aplicable a centros de ocio),"Convenio
urbanístico
","Plan parcial 
","Modificación puntual
de PGOU ","Proyecto
urbanístico ",Licencia de obras,Otras fechas,"Convenio
urbanístico
","Plan parcial 
","Modificación puntual
de PGOU ","Proyecto
urbanístico ",Licencia de obras,Otros,"Convenio
urbanístico
","Plan parcial 
","Modificación puntual
de PGOU ","Proyecto
urbanístico ",Licencia de obras,Otros,Recursos interpuestos,Sentencias judiciales,Número y fecha de la sentencia,Tribunal que la dicta,Fallo,Hipotecas y cargas,Cuantía de la hipoteca (€),Concurso de acreedores del promotor,Entidades financieras vinculadas,Figuras de protección ambiental,"Nombre y categoría, en su caso",Zonificación (nivel de protección),Dominio público marítimo-terrestre,Enlaces a noticias de prensa,Material gráfico y promocional,Archivos adjuntos
Manzanares Norte 1,APE 09.20,"40.4744754,-3.7595636","Calle Níscalo, Madrid",Madrid,Madrid,Comunidad de Madrid,TIA - Infraestructuras de impacto territorial ,-,Ecologistas en Acción,,"https://www.google.es/maps/@40.4744754,-3.7595636,1553m/data=!3m1!1e3?hl=es",,,7163400,,,,,,,,Proyecto tramitado (no iniciado),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ámbito urbanístico afectado por la sentencia del Tribunal Supremo de 27 de febrero de 2003, casada parcialmente por sentencia del Tribunal Supremo de 3 de julio de 2007.",,,,,,,,,,,,,,
Manzanares Norte 2,APE 09.20,"40.5278715,-3.7812731","Paseo el Pardo, Madrid",Madrid,Madrid,Comunidad de Madrid,TIA - Infraestructuras de impacto territorial ,-,Ecologistas en Acción,,"https://www.google.es/maps/@40.5278715,-3.7812731,1182m/data=!3m1!1e3?hl=es",,,7163400,,,,,,,,Proyecto tramitado (no iniciado),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ámbito urbanístico afectado por la sentencia del Tribunal Supremo de 27 de febrero de 2003, casada parcialmente por sentencia del Tribunal Supremo de 3 de julio de 2007.",,,,,,,,,,,,,,
Colonia Militar Cuatro Vientos,APE 10.08,"40.3761854,-3.7971483","Calle Coraceros, Madrid",Madrid,Madrid,Comunidad de Madrid,NOE - Nuevo desarrollo urbano,-,Ecologistas en Acción,,"https://www.google.es/maps/@40.3761854,-3.7971483,508m/data=!3m1!1e3?hl=es",,,80200,,,,,,,,Proyecto tramitado (no iniciado),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ámbito urbanístico afectado por la sentencia del Tribunal Supremo de 27 de febrero de 2003, casada parcialmente por sentencia del Tribunal Supremo de 3 de julio de 2007.",,,,,,,,,,,,,,
Instalaciones Militares de Campamento,APR 10.02,"40.3888773,-3.7849509","Paseo de Extremadura, Madrid",Madrid,Madrid,Comunidad de Madrid,NOE - Nuevo desarrollo urbano,-,Ecologistas en Acción,,"https://www.google.es/maps/@40.3888773,-3.7849509,1340m/data=!3m1!1e3?hl=es",,,2111900,,,10700,,,,,Proyecto tramitado (no iniciado),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ámbito urbanístico afectado por la sentencia del Tribunal Supremo de 27 de febrero de 2003, casada parcialmente por sentencia del Tribunal Supremo de 3 de julio de 2007.",,,,,,,,,,,,,,
La Dehesa,APR 19.04,"40.3945539,-3.5938206","Calle Alberto Sánchez, Madrid",Madrid,Madrid,Comunidad de Madrid,ZIP - Zona industrial vinculada a población,-,Ecologistas en Acción,,"https://www.google.es/maps/@40.3945539,-3.5938206,1213m/data=!3m1!1e3?hl=es",,,740300,,,,,,,,Urbanización terminada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciudad aeroportuaria y Parque de Valdebebas,UNP 4.01,"40.4894887,-3.6159038","Parque Felipe VI, Madrid",Madrid,Madrid,Comunidad de Madrid,NOE - Nuevo desarrollo urbano,TIA - Infraestructuras de impacto territorial ,Ecologistas en Acción,,"https://www.google.es/maps/@40.4894887,-3.6159038,4851m/data=!3m1!1e3?hl=es",,,11578900,,,12500,,,,,Urbanización terminada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desarrollo del Este-Ensanche de Coslada,UNP 4.04,"40.4164304,-3.5365395","Hospital del Henares, Coslada",Coslada,Madrid,Comunidad de Madrid,NOE - Nuevo desarrollo urbano,TIA - Infraestructuras de impacto territorial ,Ecologistas en Acción,,"https://www.google.es/maps/@40.4164304,-3.5365395,1525m/data=!3m1!1e3?hl=es",,,810700,,,,,,,,Inicio de los trabajos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ámbito urbanístico afectado por la sentencia del Tribunal Supremo de 27 de febrero de 2003, casada parcialmente por sentencia del Tribunal Supremo de 3 de julio de 2007. Salvo el Hospital la urbanización está iniciada pero no terminada.",,,,,,,,,,,,,,
Desarrollo del Este-Ensanche de San Fernando,UNP 4.05,"40.4183453,-3.5289727","Carretera de San Fernando a Mejorada, Madrid",Madrid,Madrid,Comunidad de Madrid,NOE - Nuevo desarrollo urbano,-,Ecologistas en Acción,,"https://www.google.es/maps/@40.4183453,-3.5289727,554m/data=!3m1!1e3?hl=es",,,222700,,,,,,,,Proyecto tramitado (no iniciado),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ámbito urbanístico afectado por la sentencia del Tribunal Supremo de 27 de febrero de 2003, casada parcialmente por sentencia del Tribunal Supremo de 3 de julio de 2007.",,,,,,,,,,,,,,
Remate Suroeste-Campamento,UNP 4.07,"40.384615,-3.8112274","M-40, 345, Madrid",Madrid,Madrid,Comunidad de Madrid,NOE - Nuevo desarrollo urbano,-,Ecologistas en Acción,,"https://www.google.es/maps/@40.384615,-3.8112274,4287m/data=!3m1!1e3?hl=es",,,6806300,,,7400,,,,,Proyecto tramitado (no iniciado),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ámbito urbanístico afectado por la sentencia del Tribunal Supremo de 27 de febrero de 2003, casada parcialmente por sentencia del Tribunal Supremo de 3 de julio de 2007.",,,,,,,,,,,,,,
Solana de Valdebebas,UNP 4.10,"40.5047177,-3.6201591","Calle Prov Parque Valdebebas, Madrid",Madrid,Madrid,Comunidad de Madrid,NOE - Nuevo desarrollo urbano,DEO - Desarrollo ligado a instalaciones de ocio,Ecologistas en Acción,,"https://www.google.es/maps/@40.5047177,-3.6201591,2310m/data=!3m1!1e3?hl=es",,,1106700,,,1106,,,,,Proyecto tramitado (no iniciado),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ámbito urbanístico afectado por la sentencia del Tribunal Supremo de 27 de febrero de 2003, casada parcialmente por sentencia del Tribunal Supremo de 3 de julio de 2007.",,,,,,,,,,,,,,
