"","nombre_promocional","nombre_urbanistico","direccion","provincia","comunidad_autonoma","latitud","longitud","padre_adoptivo","corpse_category","creator"
"40","Urb Canalbión, Fuerteventura","SUP-15 Canalbión","Calle Manuel de Falla, 35626. Pájara","Las Palmas","Canarias","28.100504"," -14.276711","Ruinas Modernas","Desenterrado","Ruinas Modernas"
"41","Urbanización
Mal Nombre o Tierra Dorada, Fuerteventura","PAU Mal Nombre o Tierra
Dorada","calle La Herradura s/n, 35628, Pájara, Fuerteventura","Las Palmas","Canarias","28.088787"," -14.286970","ruinas Modernas","Desenterrado","Ruinas Modernas"
"42","Fortuna, Murcia","SU “las Lamparillas”",,"Murcia","Murcia","38.156486"," -1.114678","ruinas modernas","Desenterrado","Ruinas Modernas"
"43","Aledo, Murcia",,,"Murcia","Murcia","37.785097","-1.588683","ruinas modernas","Desenterrado","Ruinas Modernas"
"44","Trampolin Hills, Campos del Rio, Murcia",,,"Murcia","Murcia","38.02771","-1.340289","ruinas modernas","Desenterrado","Ruinas Modernas"
"45","Las Higuericas Finca Parcs","SU Sector “Las Higuericas”",,"Albacete","Castilla La Mancha","38.384327"," -1.640910","ruinas modernas","Desenterrado","Ruinas Modernas"
"46","Chinchilla, Albacete",,,"Albacete","Castilla La Mancha","38.942964"," -1.792013","ruinas modernas","Desenterrado","Ruinas Modernas"
"47","Fadesa Vallfosca, Cataluña","sectores SAU E1, SAU E2 y UA E2 de Espui, Domini Esquiable de Filià","Ctra L-530 Espui, LaTorre de Cabdella","Lleida","Cataluña","42.454172"," 0.988527","ruinas modernas","Desenterrado","Ruinas Modernas"
"48","el mirador del ebro, ","DUB-1 La Palma","L'Aldea","Tarragona","Cataluña","40.722670"," 0.588321","ruinas modernas","Desenterrado","Ruinas Modernas"
"49","Parque industrial La Serna, Tudela","Área Industrial de Actividades Económicas de Tudela, polígono “La Serna”","parajes Corraliza, de las Labradas y Corraliza de la Serna, Tudela, Navarra","Navarra","Navarra","42.078789"," -1.645731","ruinas modernas","Desenterrado","Ruinas Modernas"
"50","Urbanización Bella Rotja, Alicante","Sector Penya Roja","Urbanización Penya Roja, 261. 03789 Pego","Alicante","Valencia","38.835078"," -0.073919","ruinas modernas","Desenterrado","Ruinas Modernas"
"51","Campo de Vuelo, Alhama, Murcia",,,"Murcia","Murcia","37.753005"," -1.302395","ruinas modernas","Desenterrado","Ruinas Modernas"
"52","Ciudad bioclimática La encina, Segovia","SAU “La Encina”","La encina, Bernuy de Porreros, ","Segovia","Castilla y León","40.995909"," -4.119476","ruinas modernas","Desenterrado","Ruinas Modernas"
"53","Costa Miño Golf, Miño, La Coruña"," sector SU RD Perbes - San Xoán de Vilanova","avda. Xario 110-A, Miño,","La Coruña","Galicia","43.373929"," -8.193952","ruinas modernas","Desenterrado","Ruinas Modernas"
"54","Urbanización Port Olivet, Ametlla de mar, Tarragona","sector G-5 Port Olivet","Polígono 15, Porta-Olivet. L'Ametlla de Mar","Tarragona","Cataluña","40.868648"," 0.784298","ruinas modernas","Desenterrado","Ruinas Modernas"
"55","Ciudad del medio ambiente, Garray Soria","Proyecto Regional «Ciudad del Medio Ambiente»","paraje Soto del Garray, Garray,","Soria","Castilla y León","41.816743"," -2.474842","ruinas modernas","Desenterrado","Ruinas Modernas"
"56","Residencial La Loma Golf Resort","Zu-SP-MP5 “La Loma”","Pedanía Los Martinez del Puerto, partido de Bálsicas","Murcia","Murcia","37.850933","-1.06679","ruinas modernas","Desenterrado","Ruinas Modernas"
"57","Camposol?","Zu-SP-GT9 "" Camposol""","La Tercia-Gea y Truyols","Murcia","Murcia","37.852086","-1.043015","ruinas modernas","Desenterrado","Ruinas Modernas"
"58","Lo Santiago Hills","

ZU-SP-GT4 “El Trampolin”

","Finca Los Santiago, Gea y Truyols","Murcia","Murcia","37.847799","-1.039281","ruinas modernas","Desenterrado","Ruinas Modernas"
"59","La Tercia II ?","sector ZU-SP-GT18 “La Tercia II”","Gea y Truyols","Murcia","Murcia","37.857473","-1.036234","ruinas modernas","Desenterrado","Ruinas Modernas"
"60","Vento Cortado?","ZU-SP-GT10 “vento Cortado”","Gea y Truyols","Murcia","Murcia","37.845071","-1.036491","ruinas modernas","Desenterrado","Ruinas Modernas"
"61","La tercia?","Zu-SP-GT7 “La Tercia”","Paraje ""Casas del Cura"", Gea y Truyols","Murcia","Murcia","37.840564","-1.029153","ruinas modernas","Desenterrado","Ruinas Modernas"
"62","Los Mazones?","ZU-SR-GT21 “Lo Mazon”","Polígono 53, parcela 7. Los Mazones","Murcia
","Murcia","37.874549","-1.019154","ruinas modernas","Desenterrado","Ruinas Modernas"
"63","Tres Molinos Norte?","ZU-SP-GT16 “TRES MOLINOS NORTE”","Gea y Truyols","Murcia
","Murcia","37.861675","-1.019626","ruinas modernas","Desenterrado","Ruinas Modernas"
"64","3 Molinos Resort","Zu-SP-GT15 “TRES MOLINOS SUR”","Gea y Truyols","Murcia
","Murcia","37.846054","-1.0113","ruinas modernas","Desenterrado","Ruinas Modernas"
"65","United Golf Resort La tercia","Zu-SR-GT3 “Los Cañares”","Av. Bálsicas. 30590 Gea y Truyols","Murcia
","Murcia","37.865571","-1.009283","ruinas modernas","Desenterrado","Ruinas Modernas"
"66","La Nueva Tercia Residencial","ZB- GT1","Gea y Truyols","Murcia
","Murcia","37.882551","-1.007073","ruinas modernas","Desenterrado","Ruinas Modernas"
"67","Los Granados Golf Resort - Albaida Golf Resort - Sun gardens Resort","

ZU-SR-GT12 “Los
Granados”

","Gea y Truyols","Murcia
","Murcia","37.855898","-1.00364","ruinas modernas","Desenterrado","Ruinas Modernas"
"68","La Tercia Real","Zu-SR-GT11 “La Tercia Real”","Pedania de La Tercia. Gea y Truyols","Murcia
","Murcia","37.870755"," -1.001762","ruinas modernas","Desenterrado","Ruinas Modernas"
"69","Las Veredas","Zu-SF-GT20 “Las veredas”","Gea y Truyols","Murcia
","Murcia","37.868167"," -0.995694","ruinas modernas","Desenterrado","Ruinas Modernas"
"70","Sierra Real Golf","ZU-SF-JA2 “Finca el Escobar”","Finca El Escobar, Jerónimos y Avileses","Murcia
","Murcia","37.859365"," -0.984146","ruinas modernas","Desenterrado","Ruinas Modernas"
"71","Las Carretillas","ZU-SP-JA8 “Las Carretillas”","Jerónimos y Avileses","Murcia
","Murcia","37.8457962","-0.9862186","ruinas modernas","Desenterrado","Ruinas Modernas"
"72","Hacienda Riquelme Golf Resort","Zu-Su-SN 6 “Finca Riquelme”","Sucina, Partido de Bálsicas","Murcia
","Murcia","37.8914848","-0.969698","ruinas modernas","Desenterrado","Ruinas Modernas"
"73","Peisa Golf Mar Menor","Zu-Sb-Sn8 “Peysa Centro”","Sucina, Partido de Bálsicas","Murcia
","Murcia","37.902261"," -0.958613","ruinas modernas","Desenterrado","Ruinas Modernas"
"74","Sucina Golf & Country Club","ZU-SU-Sn4","Sucina, Partido de Bálsicas","Murcia
","Murcia","37.886939"," -0.938893","ruinas modernas","Desenterrado","Ruinas Modernas"
"75","La Peraleja Golf","Zu-SF-Sn5 “La Peraleja”","Sucina, Partido de Bálsicas","Murcia
","Murcia","37.8739598","-0.9530825","ruinas modernas","Desenterrado","Ruinas Modernas"
"76","Eden del Mar","Zu-SF-JA4","Jerónimos y Avileses","Murcia
","Murcia","37.857481"," -0.941092","ruinas modernas","Desenterrado","Ruinas Modernas"
"77","Los Altos de Sucina","Zu-SP-Sn7 "" altos del Sucina""","Sucina, Partido de Bálsicas","Murcia
","Murcia","37.874471"," -0.939287","ruinas modernas","Desenterrado","Ruinas Modernas"
"78","Ochando Golf","Zu-SP-JA5 “hacienda de Ochando”","Sucina, Partido de Bálsicas","Murcia
","Murcia","37.865680"," -0.927496","ruinas modernas","Desenterrado","Ruinas Modernas"
"79","Sucina Golf","ZU-SP-JA7 “Finca Sucina Golf”","Jerónimos y Avileses","Murcia
","Murcia","37.871168"," -0.916467","ruinas modernas","Desenterrado","Ruinas Modernas"
