Promocional*,Urbanístico*,"Latitud, Longitud*",Dirección ,Municipio*,Provincia*,Comunidad Autónoma*,Tipología de asentamiento principal (ver pestaña ayuda)*,Tipología del asentamiento secundaria( ver pestaña ayuda),"FUENTE (nación rotonda, 6000km, etc)*",enlace web,Enlance a mapa de foto aérea en el que se visualice el cadáver ,"Fecha, autor, fuente de la foto",Padre o Madre adoptivo del cadáver,Superficie del terreno (m2),Superficie construida (m2),Suelo ocupado actual (%),Viviendas,Plazas hoteleras,Parcelas uso industrial,Parcelas uso comercial,Parcelas uso equipamiento,Selección desplegable,Comentarios/ otras opciones,Promotor,Constructor,Arquitecto o técnico redactor,Descripción,Código INE Municipio,Código INE Provincia,Seleccion desplegable,Comentarios / otros,Selección desplegable,Comentarios / otros,Edificabilidad absoluta planificada o aprobada (m2),Viviendas,Plazas hoteleras,Parcelas uso industrial,Parcelas uso comercial,Parcelas uso equipamiento,Número de habitantes previsto,Número de visitantes previsto ( aplicable a centros de ocio),"Convenio
urbanístico
","Plan parcial 
","Modificación puntual
de PGOU ","Proyecto
urbanístico ",Licencia de obras,Otras fechas,"Convenio
urbanístico
","Plan parcial 
","Modificación puntual
de PGOU ","Proyecto
urbanístico ",Licencia de obras,Otros,"Convenio
urbanístico
","Plan parcial 
","Modificación puntual
de PGOU ","Proyecto
urbanístico ",Licencia de obras,Otros,Recursos interpuestos,Sentencias judiciales,Número y fecha de la sentencia,Tribunal que la dicta,Fallo,Hipotecas y cargas,Cuantía de la hipoteca (€),Concurso de acreedores del promotor,Entidades financieras vinculadas,Figuras de protección ambiental,"Nombre y categoría, en su caso",Zonificación (nivel de protección),Dominio público marítimo-terrestre,Enlaces a noticias de prensa,Material gráfico y promocional,Archivos adjuntos
Vento Cortado?,ZU-SP-GT10 “vento Cortado”,"37.845071,-1.036491",Gea y Truyols,Murcia,------,Región de Murcia,NEU - Nueva entidad urbana,--,Ruinas Modernas,http://www.juliaschulzdornburg.com/cas/vento-cortado,,,Ruinas Modernas,,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar pareada o adosada,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residencial La tercia,Zu-SP-GT7 “La Tercia”,"37.840564,-1.029153","Paraje ""Casas del Cura"", Gea y Truyols",Murcia,------,Región de Murcia,NEU - Nueva entidad urbana,--,Ruinas Modernas,www.juliaschulzdornburg.com/cas/residencial-la-tercia,,,Ruinas Modernas,,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar pareada o adosada,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Mazones,ZU-SR-GT21 “Lo Mazon”,"37.874549,-1.019154","Polígono 53, parcela 7. Los Mazones","Murcia
",------,Región de Murcia,NEU - Nueva entidad urbana,-,Ruinas Modernas,http://www.juliaschulzdornburg.com/cas/los-mazones,,,Ruinas Modernas,,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar pareada o adosada,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tres Molinos Norte?,ZU-SP-GT16 “TRES MOLINOS NORTE”,"37.861675,-1.019626",Gea y Truyols,"Murcia
",------,Región de Murcia,NEU - Nueva entidad urbana,-,Ruinas Modernas,http://www.juliaschulzdornburg.com/cas/tres-molinos,,,Ruinas Modernas,,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar pareada o adosada,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Molinos Resort,Zu-SP-GT15  “TRES MOLINOS SUR”,"37.846054,-1.0113",Gea y Truyols,"Murcia
",------,Región de Murcia,NEU - Nueva entidad urbana,DEO - Desarrollo ligado a instalaciones de ocio,Ruinas Modernas,http://www.juliaschulzdornburg.com/cas/tres-molinos-resort,,,Ruinas Modernas,,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar pareada o adosada,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Golf Resort La tercia,Zu-SR-GT3 “Los Cañares”,"37.865571,-1.009283",Av. Bálsicas. 30590 Gea y Truyols,"Murcia
",------,Región de Murcia,NEU - Nueva entidad urbana,DEO - Desarrollo ligado a instalaciones de ocio,Ruinas Modernas,http://www.juliaschulzdornburg.com/cas/united-golf-resort,,,Ruinas Modernas,,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar pareada o adosada,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Nueva Tercia Residencial,ZB- GT1 ,"37.882551,-1.007073",Gea y Truyols,"Murcia
",------,Región de Murcia,NEU - Nueva entidad urbana,-,Ruinas Modernas,http://www.juliaschulzdornburg.com/cas/nueva-tercia-residencial,,,Ruinas Modernas,,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar pareada o adosada,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Granados Golf Resort - Albaida Golf Resort - Sun gardens Resort ,"ZU-SR-GT12 “Los
Granados”","37.855898,-1.00364",Gea y Truyols,Murcia,------,Región de Murcia,NEU - Nueva entidad urbana,DEO - Desarrollo ligado a instalaciones de ocio,Ruinas Modernas,http://www.juliaschulzdornburg.com/cas/los-granados-golf-resort,,,Ruinas Modernas,,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar pareada o adosada,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Tercia Real,Zu-SR-GT11 “La Tercia Real”,"37.870755, -1.001762",Pedania de La Tercia. Gea y Truyols,Murcia,------,Región de Murcia,NEU - Nueva entidad urbana,-,Ruinas Modernas- Mediturban- Nación Rotonda,http://www.juliaschulzdornburg.com/cas/la-tercia-real,,,Ruinas modernas,,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar pareada o adosada,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Las Veredas,Zu-SF-GT20 “Las veredas”,"37.868167, -0.995694",Gea y Truyols,"Murcia
",------,Región de Murcia,NEU - Nueva entidad urbana,-,Ruinas Modernas,http://www.juliaschulzdornburg.com/cas/las-veredas,,,Ruinas Modernas,,,,,,,,,Edificación no terminada,,,,,,,,Residencial Unifamiliar,,Vivienda unifamiliar pareada o adosada,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
