"","nombre_promocional","longitud","latitud","enlace_web","Tipo","geometry","corpse_category"
"48","Golf Ría de Vigo","-8.687826","42.301748","http://www.nacionrotonda.com/2014/04/golf-ria-de-vigo-pontevedra.html",,,"Desenterrados"
"49","Llanes","-4.761642","43.423809","http://www.nacionrotonda.com/2014/04/llanes-asturias.html",,,"Desenterrados"
"50","Loeches","-3.415648","40.386173","http://www.nacionrotonda.com/2014/04/loeches-madrid.html",,,"Desenterrados"
"51","Los Geraneos","-1.545796","37.426333","http://www.nacionrotonda.com/2014/04/los-geraneos-murcia.html",,,"Desenterrados"
"52","Málaga","-4.407664","36.720485","http://www.nacionrotonda.com/2014/04/malaga.html",,,"Desenterrados"
"53","Monforte de Lemos","-7.495598","42.542708","http://www.nacionrotonda.com/2014/04/monforte-de-lemos-lugo.html",,,"Desenterrados"
"54","Móstoles (Oeste)","-3.895817","40.29954","http://www.nacionrotonda.com/2014/04/mostoles-oeste-madrid.html",,,"Desenterrados"
"55","Muel","-1.105057","41.489619","http://www.nacionrotonda.com/2014/04/muel-zaragoza.html",,,"Desenterrados"
"56","Nuevo Mestalla","-0.395923","39.489358","http://www.nacionrotonda.com/2014/04/nuevo-mestalla-valencia.html",,,"Desenterrados"
"57","Ocaña","-3.496835","39.946271","http://www.nacionrotonda.com/2014/04/ocana-toledo.html",,,"Desenterrados"
"58","Orozko","-2.910271","43.106469","http://www.nacionrotonda.com/2014/04/orozko-bizkaia.html",,,"Desenterrados"
"59","Oviedo (este)","-5.818324","43.381218","http://www.nacionrotonda.com/2014/04/oviedo-este-asturias.html",,,"Desenterrados"
"60","Palomares II","-1.8196","37.24022","http://www.nacionrotonda.com/2014/04/palomares-ii-almeria.html",,,"Desenterrados"
"61","Parquesol","-4.774374","41.633679","http://www.nacionrotonda.com/2014/04/parquesol-valladolid.html",,,"Desenterrados"
"62","Santa Isabel","-0.827482","41.668379","http://www.nacionrotonda.com/2014/04/santa-isabel-zaragoza.html",,,"Desenterrados"
"63","Santa María del Águila","-2.772327","36.786286","http://www.nacionrotonda.com/2014/04/santa-maria-del-aguila-almeria.html",,,"Desenterrados"
"64","Soto del Real","-3.743749","40.761132","http://www.nacionrotonda.com/2014/04/soto-del-real-madrid.html",,,"Desenterrados"
